,ABox,Run,Time,Judgement
0,a:(A&(-A&(B&C))), -> a:(A&(-A&(B&C))) -> a:(-A&(B&C)),3.1205,I
1,a:(A&(-A&(B&C))), -> a:(A&(-A&(B&C))) -> a:(-A&(B&C)),2.9614,I
2,a:(A&(-A&(B&C))), -> a:(A&(-A&(B&C))) -> a:(-A&(B&C)),2.9654,I
3,a:(A&(-A&(B&C))), -> a:(A&(-A&(B&C))) -> a:(-A&(B&C)),2.9636,I
4,a:(A&(-A&(B&C))), -> a:(A&(-A&(B&C))) -> a:(-A&(B&C)),2.9643,I
5,a:(A&(-A&(B&C))), -> a:(A&(-A&(B&C))) -> a:(-A&(B&C)),3.121,I
6,a:(A&(-A&(B&C))), -> a:(A&(-A&(B&C))) -> a:(-A&(B&C)),2.9651,I
7,a:(A&(-A&(B&C))), -> a:(A&(-A&(B&C))) -> a:(-A&(B&C)),2.9697,I
8,a:(A&(-A&(B&C))), -> a:(A&(-A&(B&C))) -> a:(-A&(B&C)),3.1179,I
9,a:(A&(-A&(B&C))), -> a:(A&(-A&(B&C))) -> a:(-A&(B&C)),3.1194,I
10,a:(A&(-A&(B&C))), -> a:(A&(-A&(B&C))) -> a:(-A&(B&C)),2.9625,I
11,a:(A&(-A&(B&C))), -> a:(A&(-A&(B&C))) -> a:(-A&(B&C)),2.9644,I
12,a:(A&(-A&(B&C))), -> a:(A&(-A&(B&C))) -> a:(-A&(B&C)),2.9664,I
13,a:(A&(-A&(B&C))), -> a:(A&(-A&(B&C))) -> a:(-A&(B&C)),2.9647,I
14,a:(A&(-A&(B&C))), -> a:(A&(-A&(B&C))) -> a:(-A&(B&C)),3.1196,I
15,a:(A&(-A&(B&C))), -> a:(A&(-A&(B&C))) -> a:(-A&(B&C)),2.9668,I
16,a:(A&(-A&(B&C))), -> a:(A&(-A&(B&C))) -> a:(-A&(B&C)),2.9615,I
17,a:(A&(-A&(B&C))), -> a:(A&(-A&(B&C))) -> a:(-A&(B&C)),3.1194,I
18,a:(A&(-A&(B&C))), -> a:(A&(-A&(B&C))) -> a:(-A&(B&C)),3.1192,I
