Index,ABox,Run,Time,Judgement
0,"a:A,a:B",|,2.9039,C
1,"a:A,a:B",|,2.9035,C
2,"a:A,a:B",|,2.9057,C
3,"a:A,a:B",|,2.9028,C
4,"a:A,a:B",|,2.9052,C
5,"a:A,a:B",|,2.903,C
6,"a:A,a:B",|,2.9027,C
7,"a:A,a:B",|,2.9012,C
8,"a:A,a:B",|,2.904,C
9,"a:A,a:B",|,2.9044,C
10,"a:A,a:B",|,2.9044,C
11,"a:A,a:B",|,2.904,C
12,"a:A,a:B",|,2.9039,C
13,"a:A,a:B",|,2.905,C
14,"a:A,a:B",|,2.9047,C
15,"a:A,a:B",|,2.9043,C
16,"a:A,a:B",|,2.9062,C
17,"a:A,a:B",|,2.9048,C
18,"a:A,a:B",|,2.907,C
19,"a:A,a:B",|,2.9022,C
20,"a:A,a:B",|,2.9034,C
21,"a:A,a:B",|,2.9066,C
22,"a:A,a:B",|,2.9058,C
23,"a:A,a:B",|,2.9059,C
24,"a:A,a:B",|,2.9059,C
25,"a:A,a:B",|,2.9067,C
26,"a:A,a:B",|,2.9044,C
27,"a:A,a:B",|,2.9043,C
28,"a:A,a:B",|,2.9035,C
29,"a:A,a:B",|,2.9067,C
30,"a:A,a:B",|,2.9078,C
31,"a:A,a:B",|,2.9041,C
32,"a:A,a:B",|,2.9045,C
33,"a:A,a:B",|,2.9054,C
34,"a:A,a:B",|,2.9035,C
35,"a:A,a:B",|,2.9039,C
36,"a:A,a:B",|,2.9056,C
37,"a:A,a:B",|,2.9044,C
38,"a:A,a:B",|,2.9042,C
39,"a:A,a:B",|,2.9018,C
40,"a:A,a:B",|,2.9052,C
41,"a:A,a:B",|,2.9058,C
42,"a:A,a:B",|,2.9026,C
43,"a:A,a:B",|,2.9049,C
44,"a:A,a:B",|,2.9077,C
45,"a:A,a:B",|,2.905,C
46,"a:A,a:B",|,2.9042,C
47,"a:A,a:B",|,2.9047,C
48,"a:A,a:B",|,2.9038,C
49,"a:A,a:B",|,2.9063,C
50,"a:A,a:B",|,2.9037,C
51,"a:A,a:B",|,2.9029,C
52,"a:A,a:B",|,2.9044,C
53,"a:A,a:B",|,2.9026,C
54,"a:A,a:B",|,2.9043,C
55,"a:A,a:B",|,2.9042,C
56,"a:A,a:B",|,2.9046,C
57,"a:A,a:B",|,2.9047,C
58,"a:A,a:B",|,2.9041,C
59,"a:A,a:B",|,2.9039,C
60,"a:A,a:B",|,2.9035,C
61,"a:A,a:B",|,2.903,C
62,"a:A,a:B",|,2.9036,C
63,"a:A,a:B",|,2.906,C
64,"a:A,a:B",|,2.9051,C
65,"a:A,a:B",|,2.9054,C
66,"a:A,a:B",|,2.9042,C
67,"a:A,a:B",|,2.9062,C
68,"a:A,a:B",|,2.9042,C
69,"a:A,a:B",|,2.9061,C
70,"a:A,a:B",|,2.9069,C
71,"a:A,a:B",|,2.9074,C
72,"a:A,a:B",|,2.9036,C
73,"a:A,a:B",|,2.9044,C
74,"a:A,a:B",|,2.904,C
75,"a:A,a:B",|,2.904,C
76,"a:A,a:B",|,2.9063,C
77,"a:A,a:B",|,2.9059,C
78,"a:A,a:B",|,2.9057,C
79,"a:A,a:B",|,2.9033,C
80,"a:A,a:B",|,2.9027,C
81,"a:A,a:B",|,2.9054,C
82,"a:A,a:B",|,2.905,C
83,"a:A,a:B",|,2.9023,C
84,"a:A,a:B",|,2.9032,C
85,"a:A,a:B",|,2.903,C
86,"a:A,a:B",|,2.9066,C
87,"a:A,a:B",|,2.9048,C
88,"a:A,a:B",|,2.9078,C
89,"a:A,a:B",|,2.9058,C
90,"a:A,a:B",|,2.9046,C
91,"a:A,a:B",|,2.9051,C
92,"a:A,a:B",|,2.9067,C
93,"a:A,a:B",|,2.9049,C
