,ABox,Run,Time,Judgement
0,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6522,C
1,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.655,C
2,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6054,C
3,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6042,C
4,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6563,C
5,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6597,C
6,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6585,C
7,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.601,C
8,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6551,C
9,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6015,C
10,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.656,C
11,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6549,C
12,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.5992,C
13,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6032,C
14,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6552,C
15,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.5983,C
16,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6031,C
17,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6023,C
18,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6532,C
19,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6517,C
20,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6537,C
21,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6038,C
22,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6577,C
23,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6579,C
24,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6017,C
25,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6583,C
26,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6593,C
27,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6593,C
28,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6581,C
29,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.5971,C
30,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6584,C
31,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6576,C
32,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6594,C
33,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6557,C
34,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6581,C
35,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6526,C
36,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6018,C
37,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6548,C
38,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6586,C
39,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6575,C
40,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.655,C
41,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6572,C
42,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.5986,C
43,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6544,C
44,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6033,C
45,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6623,C
46,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.5993,C
47,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6544,C
48,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6031,C
49,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6523,C
50,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6579,C
51,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6523,C
52,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6537,C
53,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6022,C
54,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6543,C
55,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6585,C
56,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6525,C
57,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6573,C
58,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6013,C
59,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6047,C
60,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6519,C
61,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6015,C
62,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6547,C
63,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6555,C
64,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6569,C
65,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6061,C
66,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.656,C
67,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6544,C
68,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.654,C
69,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6551,C
70,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.601,C
71,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6553,C
72,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6546,C
73,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6558,C
74,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6012,C
75,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6591,C
76,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.652,C
77,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6541,C
78,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6584,C
79,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6587,C
80,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.5975,C
81,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6547,C
82,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6567,C
83,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6519,C
84,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6551,C
85,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.5997,C
86,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6556,C
87,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6571,C
88,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6524,C
89,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6532,C
90,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6558,C
91,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6572,C
92,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6036,C
93,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6539,C
94,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6011,C
95,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6543,C
96,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6003,C
97,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6039,C
98,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6003,C
99,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6533,C
100,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6623,C
101,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6528,C
102,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.601,C
103,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6569,C
104,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6006,C
105,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.5993,C
106,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6538,C
107,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6542,C
108,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6561,C
109,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6047,C
110,"a:A, (b,a):r, b:/Ar.E", -> b:/Ar.E,3.6564,C
