Index,ABox,Run,Time,Judgement
0,"a:A, b:-A, a:-B",|,3.5629,C
1,"a:A, b:-A, a:-B",|,3.5604,C
2,"a:A, b:-A, a:-B",|,3.5639,C
3,"a:A, b:-A, a:-B",|,3.5613,C
4,"a:A, b:-A, a:-B",|,3.5627,C
5,"a:A, b:-A, a:-B",|,3.5618,C
6,"a:A, b:-A, a:-B",|,3.5638,C
7,"a:A, b:-A, a:-B",|,3.5626,C
8,"a:A, b:-A, a:-B",|,3.5629,C
9,"a:A, b:-A, a:-B",|,3.5625,C
10,"a:A, b:-A, a:-B",|,3.5646,C
11,"a:A, b:-A, a:-B",|,3.5636,C
12,"a:A, b:-A, a:-B",|,3.5644,C
13,"a:A, b:-A, a:-B",|,3.5636,C
14,"a:A, b:-A, a:-B",|,3.5633,C
15,"a:A, b:-A, a:-B",|,3.5624,C
16,"a:A, b:-A, a:-B",|,3.5628,C
17,"a:A, b:-A, a:-B",|,3.5634,C
18,"a:A, b:-A, a:-B",|,3.5633,C
19,"a:A, b:-A, a:-B",|,3.5625,C
20,"a:A, b:-A, a:-B",|,3.5624,C
21,"a:A, b:-A, a:-B",|,3.5627,C
22,"a:A, b:-A, a:-B",|,3.5655,C
23,"a:A, b:-A, a:-B",|,3.5645,C
24,"a:A, b:-A, a:-B",|,3.5623,C
25,"a:A, b:-A, a:-B",|,3.5645,C
26,"a:A, b:-A, a:-B",|,3.5633,C
27,"a:A, b:-A, a:-B",|,3.5628,C
28,"a:A, b:-A, a:-B",|,3.5632,C
29,"a:A, b:-A, a:-B",|,3.566,C
30,"a:A, b:-A, a:-B",|,3.5646,C
31,"a:A, b:-A, a:-B",|,3.5615,C
32,"a:A, b:-A, a:-B",|,3.5662,C
33,"a:A, b:-A, a:-B",|,3.5642,C
34,"a:A, b:-A, a:-B",|,3.5626,C
35,"a:A, b:-A, a:-B",|,3.565,C
36,"a:A, b:-A, a:-B",|,3.5645,C
37,"a:A, b:-A, a:-B",|,3.564,C
38,"a:A, b:-A, a:-B",|,3.5629,C
39,"a:A, b:-A, a:-B",|,3.5634,C
40,"a:A, b:-A, a:-B",|,3.5634,C
41,"a:A, b:-A, a:-B",|,3.5648,C
42,"a:A, b:-A, a:-B",|,3.5599,C
43,"a:A, b:-A, a:-B",|,3.5647,C
44,"a:A, b:-A, a:-B",|,3.5647,C
45,"a:A, b:-A, a:-B",|,3.5632,C
46,"a:A, b:-A, a:-B",|,3.5625,C
47,"a:A, b:-A, a:-B",|,3.5627,C
48,"a:A, b:-A, a:-B",|,3.5624,C
49,"a:A, b:-A, a:-B",|,3.5651,C
50,a:/Er./As./Er./At.-A,| -> a:/Er./As./Er./At.-A -> x2:/As./Er./At.-A,3.2198,C
51,a:/Er./As./Er./At.-A,| -> a:/Er./As./Er./At.-A -> x1:/As./Er./At.-A,3.0629,C
52,a:/Er./As./Er./At.-A,| -> a:/Er./As./Er./At.-A -> x2:/As./Er./At.-A,2.9077,C
53,a:/Er./As./Er./At.-A,| -> a:/Er./As./Er./At.-A -> x1:/As./Er./At.-A,3.0605,C
54,a:/Er./As./Er./At.-A,| -> a:/Er./As./Er./At.-A -> x1:/As./Er./At.-A,2.9075,C
