Index,ABox,Run,Time,Judgement
0,"a:A, a:-A",|,0.8541,I
1,"a:A, a:-A",|,0.8531,I
2,"a:A, a:-A",|,0.8524,I
3,"a:A, a:-A",|,0.8537,I
4,"a:A, a:-A",|,0.8537,I
5,"a:A, a:-A",|,0.8525,I
6,"a:A, a:-A",|,0.8538,I
7,"a:A, a:-A",|,0.8534,I
8,"a:A, a:-A",|,0.8559,I
9,"a:A, a:-A",|,0.8524,I
10,"a:A, a:-A",|,0.8545,I
11,"a:A, a:-A",|,0.8519,I
12,"a:A, a:-A",|,0.8508,I
13,"a:A, a:-A",|,0.8515,I
14,"a:A, a:-A",|,0.8524,I
15,"a:A, a:-A",|,0.852,I
16,"a:A, a:-A",|,0.8535,I
17,"a:A, a:-A",|,0.855,I
18,"a:A, a:-A",|,0.8538,I
19,"a:A, a:-A",|,0.8529,I
20,"a:A, a:-A",|,0.8556,I
21,"a:A, a:-A",|,0.851,I
22,"a:A, a:-A",|,0.8548,I
23,"a:A, a:-A",|,0.8545,I
24,"a:A, a:-A",|,0.8529,I
25,"a:A, a:-A",|,0.8512,I
26,"a:A, a:-A",|,0.8552,I
27,"a:A, a:-A",|,0.8549,I
28,"a:A, a:-A",|,0.8534,I
29,"a:A, a:-A",|,0.8529,I
30,"a:A, a:-A",|,0.8538,I
31,"a:A, a:-A",|,0.8541,I
32,"a:A, a:-A",|,0.8511,I
33,"a:A, a:-A",|,0.853,I
34,"a:A, a:-A",|,0.8534,I
35,"a:A, a:-A",|,0.8531,I
36,"a:A, a:-A",|,0.8534,I
37,"a:A, a:-A",|,0.8536,I
38,"a:A, a:-A",|,0.8493,I
39,"a:A, a:-A",|,0.8549,I
40,"a:A, a:-A",|,0.8532,I
41,"a:A, a:-A",|,0.8532,I
42,"a:A, a:-A",|,0.8537,I
43,"a:A, a:-A",|,0.8524,I
44,"a:A, a:-A",|,0.8518,I
45,"a:A, a:-A",|,0.8545,I
46,"a:A, a:-A",|,0.8532,I
47,"a:A, a:-A",|,0.8524,I
48,"a:A, a:-A",|,0.8537,I
49,"a:A, a:-A",|,0.8572,I
50,"a:A, a:-A",|,0.8514,I
51,"a:A, a:-A",|,0.8534,I
52,"a:A, a:-A",|,0.8538,I
53,"a:A, a:-A",|,0.8507,I
54,"a:A, a:-A",|,0.8522,I
55,"a:A, a:-A",|,0.8524,I
56,"a:A, a:-A",|,0.8526,I
57,"a:A, a:-A",|,0.8535,I
58,"a:A, a:-A",|,0.8505,I
59,"a:A, a:-A",|,0.8534,I
60,"a:A, a:-A",|,0.8538,I
61,"a:A, a:-A",|,0.8534,I
62,"a:A, a:-A",|,0.8546,I
63,"a:A, a:-A",|,0.8537,I
64,"a:A, a:-A",|,0.8527,I
65,"a:A, a:-A",|,0.8536,I
66,"a:A, a:-A",|,0.8527,I
67,"a:A, a:-A",|,0.8551,I
68,"a:A, a:-A",|,0.8534,I
69,"a:A, a:-A",|,0.8521,I
70,"a:(-C&A), a:(B&-A)",| -> a:(B&-A) -> a:(-C&A),3.3148,I
71,"a:(-C&A), a:(B&-A)",| -> a:(-C&A) -> a:(B&-A),3.7592,I
72,"a:(-C&A), a:(B&-A)",| -> a:(B&-A) -> a:(-C&A),3.6877,I
73,"a:(-C&A), a:(B&-A)",| -> a:(B&-A) -> a:(-C&A),3.6102,I
74,"a:(-C&A), a:(B&-A)",| -> a:(B&-A) -> a:(-C&A),3.3324,I
75,"a:(-C&A), a:(B&-A)",| -> a:(-C&A) -> a:(B&-A),3.4013,I
76,"a:(-C&A), a:(B&-A)",| -> a:(-C&A) -> a:(B&-A),3.6727,I
77,"a:(-C&A), a:(B&-A)",| -> a:(B&-A) -> a:(-C&A),3.3974,I
78,"a:(-C&A), a:(B&-A)",| -> a:(-C&A) -> a:(B&-A),3.6041,I
79,"a:(-C&A), a:(B&-A)",| -> a:(B&-A) -> a:(-C&A),3.4056,I
80,"a:(-C&A), a:(B&-A)",| -> a:(-C&A) -> a:(B&-A),4.1308,I
81,"a:(-C&A), a:(B&-A)",| -> a:(-C&A) -> a:(B&-A),3.3192,I
82,"a:(-C&A), a:(B&-A)",| -> a:(B&-A) -> a:(-C&A),4.1116,I
83,"a:(-C&A), a:(B&-A)",| -> a:(-C&A) -> a:(B&-A),4.0457,I
84,"a:(-C&A), a:(B&-A)",| -> a:(-C&A) -> a:(B&-A),3.249,I
85,"a:(-C&A), a:(B&-A)",| -> a:(-C&A) -> a:(B&-A),3.3179,I
86,"a:(-C&A), a:(B&-A)",| -> a:(B&-A) -> a:(-C&A),3.3184,I
87,"a:(-C&A), a:(B&-A)",| -> a:(-C&A) -> a:(B&-A),3.3179,I
88,"a:(-C&A), a:(B&-A)",| -> a:(-C&A) -> a:(B&-A),3.3383,I
89,"a:(-C&A), a:(B&-A)",| -> a:(B&-A) -> a:(-C&A),4.1358,I
90,"a:(-C&A), a:(B&-A)",| -> a:(-C&A) -> a:(B&-A),3.4735,I
91,"a:(-C&A), a:(B&-A)",| -> a:(-C&A) -> a:(B&-A),3.6058,I
92,"a:(-C&A), a:(B&-A)",| -> a:(B&-A) -> a:(-C&A),3.315,I
93,"a:(-C&A), a:(B&-A)",| -> a:(-C&A) -> a:(B&-A),3.5335,I
94,"a:(-C&A), a:(B&-A)",| -> a:(B&-A) -> a:(-C&A),3.3999,I
95,"a:(-C&A), a:(B&-A)",| -> a:(B&-A) -> a:(-C&A),3.4734,I
96,"a:(-C&A), a:(B&-A)",| -> a:(B&-A) -> a:(-C&A),3.7454,I
97,"a:(-C&A), a:(B&-A)",| -> a:(-C&A) -> a:(B&-A),4.1315,I
98,"a:(-C&A), a:(B&-A)",| -> a:(B&-A) -> a:(-C&A),3.5348,I
99,"a:(-C&A), a:(B&-A)",| -> a:(-C&A) -> a:(B&-A),3.4919,I
100,"a:(-C&A), a:(B&-A)",| -> a:(B&-A) -> a:(-C&A),3.3197,I
101,"a:(-C&A), a:(B&-A)",| -> a:(B&-A) -> a:(-C&A),3.6104,I
102,"a:(-C&A), a:(B&-A)",| -> a:(B&-A) -> a:(-C&A),3.6062,I
103,"a:(-C&A), a:(B&-A)",| -> a:(-C&A) -> a:(B&-A),3.6888,I
104,"a:(-C&A), a:(B&-A)",| -> a:(-C&A) -> a:(B&-A),3.2452,I
105,"a:(-C&A), a:(B&-A)",| -> a:(-C&A) -> a:(B&-A),3.6022,I
106,"a:(-C&A), a:(B&-A)",| -> a:(B&-A) -> a:(-C&A),3.9748,I
107,"a:(-C&A), a:(B&-A)",| -> a:(B&-A) -> a:(-C&A),3.9534,I
108,"a:(-C&A), a:(B&-A)",| -> a:(B&-A) -> a:(-C&A),3.8925,I
109,"a:(-C&A), a:(B&-A)",| -> a:(B&-A) -> a:(-C&A),3.6038,I
110,"a:(-C&A), a:(B&-A)",| -> a:(-C&A) -> a:(B&-A),3.4729,I
111,"a:(-C&A), a:(B&-A)",| -> a:(B&-A) -> a:(-C&A),3.4927,I
112,"a:(-C&A), a:(B&-A)",| -> a:(B&-A) -> a:(-C&A),3.5349,I
113,"a:(-C&A), a:(B&-A)",| -> a:(-C&A) -> a:(B&-A),3.3206,I
114,"a:(-C&A), a:(B&-A)",| -> a:(-C&A) -> a:(B&-A),3.4034,I
115,"a:(-C&A), a:(B&-A)",| -> a:(B&-A) -> a:(-C&A),3.675,I
116,"a:(-C&A), a:(B&-A)",| -> a:(B&-A) -> a:(-C&A),4.0402,I
117,"a:(-C&A), a:(B&-A)",| -> a:(-C&A) -> a:(B&-A),3.335,I
118,"a:(-C&A), a:(B&-A)",| -> a:(B&-A) -> a:(-C&A),3.3193,I
119,"a:(-C&A), a:(B&-A)",| -> a:(-C&A) -> a:(B&-A),3.7607,I
120,"a:(-C&A), a:(B&-A)",| -> a:(B&-A) -> a:(-C&A),3.688,I
121,"a:(-C&A), a:(B&-A)",| -> a:(-C&A) -> a:(B&-A),3.4766,I
122,"a:(-C&A), a:(B&-A)",| -> a:(B&-A) -> a:(-C&A),3.69,I
123,"a:(-C&A), a:(B&-A)",| -> a:(B&-A) -> a:(-C&A),3.3161,I
124,"a:(-C&A), a:(B&-A)",| -> a:(-C&A) -> a:(B&-A),3.4924,I
125,"a:(-C&A), a:(B&-A)",| -> a:(-C&A) -> a:(B&-A),3.5984,I
126,"a:(-C&A), a:(B&-A)",| -> a:(B&-A) -> a:(-C&A),3.3987,I
127,"a:(-C&A), a:(B&-A)",| -> a:(-C&A) -> a:(B&-A),3.889,I
128,"a:(-C&A), a:(B&-A)",| -> a:(-C&A) -> a:(B&-A),3.3201,I
129,"a:(-C&A), a:(B&-A)",| -> a:(B&-A) -> a:(-C&A),3.9786,I
130,"a:(-C&A), a:(B&-A)",| -> a:(-C&A) -> a:(B&-A),3.3362,I
131,"a:(-C&A), a:(B&-A)",| -> a:(B&-A) -> a:(-C&A),3.4748,I
132,"a:(-C&A), a:(B&-A)",| -> a:(B&-A) -> a:(-C&A),3.3203,I
133,"a:(-C&A), a:(B&-A)",| -> a:(-C&A) -> a:(B&-A),3.3359,I
134,"a:(-C&A), a:(B&-A)",| -> a:(-C&A) -> a:(B&-A),3.9104,I
135,"a:(-C&A), a:(B&-A)",| -> a:(B&-A) -> a:(-C&A),3.3354,I
136,"a:(-C&A), a:(B&-A)",| -> a:(-C&A) -> a:(B&-A),3.9808,I
