,ABox,Run,Time,Judgement
0,"a:(A&B),a:C",-> -> a:(A&B),4.8492,C
1,"a:(A&B),a:C",-> -> a:(A&B),4.8231,C
2,"a:(A&B),a:C",-> -> a:(A&B),4.8475,C
3,"a:(A&B),a:C",-> -> a:(A&B),4.8502,C
4,"a:(A&B),a:C",-> -> a:(A&B),4.8202,C
5,"a:(A&B),a:C",-> -> a:(A&B),4.8509,C
6,"a:(A&B),a:C",-> -> a:(A&B),4.825,C
7,"a:(A&B),a:C",-> -> a:(A&B),4.8228,C
8,"a:(A&B),a:C",-> -> a:(A&B),4.8252,C
9,"a:(A&B),a:C",-> -> a:(A&B),4.8481,C
10,"a:(A&B),a:C",-> -> a:(A&B),4.8481,C
11,"a:(A&B),a:C",-> -> a:(A&B),4.8474,C
12,"a:(A&B),a:C",-> -> a:(A&B),4.8489,C
13,"a:(A&B),a:C",-> -> a:(A&B),4.8504,C
14,"a:(A&B),a:C",-> -> a:(A&B),4.8459,C
15,"a:(A&B),a:C",-> -> a:(A&B),4.8213,C
16,"a:(A&B),a:C",-> -> a:(A&B),4.8228,C
17,"a:(A&B),a:C",-> -> a:(A&B),4.8465,C
18,"a:(A&B),a:C",-> -> a:(A&B),4.8459,C
19,"a:(A&B),a:C",-> -> a:(A&B),4.826,C
20,"a:(A&B),a:C",-> -> a:(A&B),4.822,C
21,"a:(A&B),a:C",-> -> a:(A&B),4.824,C
22,"a:(A&B),a:C",-> -> a:(A&B),4.821,C
23,"a:(A&B),a:C",-> -> a:(A&B),4.8449,C
24,"a:(A&B),a:C",-> -> a:(A&B),4.8217,C
25,"a:(A&B),a:C",-> -> a:(A&B),4.8227,C
26,"a:(A&B),a:C",-> -> a:(A&B),4.821,C
27,"a:(A&B),a:C",-> -> a:(A&B),4.8215,C
28,"a:(A&B),a:C",-> -> a:(A&B),4.8208,C
29,"a:(A&B),a:C",-> -> a:(A&B),4.8476,C
30,"a:(A&B),a:C",-> -> a:(A&B),4.8213,C
31,"a:(A&B),a:C",-> -> a:(A&B),4.8243,C
32,"a:(A&B),a:C",-> -> a:(A&B),4.8486,C
33,"a:(A&B),a:C",-> -> a:(A&B),4.8491,C
34,"a:(A&B),a:C",-> -> a:(A&B),4.8516,C
35,"a:(A&B),a:C",-> -> a:(A&B),4.8515,C
36,"a:(A&B),a:C",-> -> a:(A&B),4.848,C
37,"a:(A&B),a:C",-> -> a:(A&B),4.8262,C
38,"a:(A&B),a:C",-> -> a:(A&B),4.8227,C
39,"a:(A&B),a:C",-> -> a:(A&B),4.8237,C
40,"a:(A&B),a:C",-> -> a:(A&B),4.8447,C
41,"a:(A&B),a:C",-> -> a:(A&B),4.826,C
42,"a:(A&B),a:C",-> -> a:(A&B),4.8466,C
43,"a:(A&B),a:C",-> -> a:(A&B),4.8466,C
44,"a:(A&B),a:C",-> -> a:(A&B),4.8236,C
45,"a:(A&B),a:C",-> -> a:(A&B),4.824,C
46,"a:(A&B),a:C",-> -> a:(A&B),4.8458,C
47,"a:(A&B),a:C",-> -> a:(A&B),4.8215,C
48,"a:(A&B),a:C",-> -> a:(A&B),4.8475,C
49,"a:(A&B),a:C",-> -> a:(A&B),4.8501,C
50,"a:(A&B),a:C",-> -> a:(A&B),4.8232,C
51,"a:(A&B),a:C",-> -> a:(A&B),4.8246,C
52,"a:(A&B),a:C",-> -> a:(A&B),4.8223,C
53,"a:(A&B),a:C",-> -> a:(A&B),4.8515,C
54,"a:(A&B),a:C",-> -> a:(A&B),4.82,C
55,"a:(A&B),a:C",-> -> a:(A&B),4.8486,C
56,"a:(A&B),a:C",-> -> a:(A&B),4.8489,C
57,"a:(A&B),a:C",-> -> a:(A&B),4.8452,C
58,"a:(A&B),a:C",-> -> a:(A&B),4.8212,C
59,"a:(A&B),a:C",-> -> a:(A&B),4.8303,C
60,"a:(A&B),a:C",-> -> a:(A&B),4.8219,C
61,"a:(A&B),a:C",-> -> a:(A&B),4.8483,C
62,"a:(A&B),a:C",-> -> a:(A&B),4.8197,C
63,"a:(A&B),a:C",-> -> a:(A&B),4.8481,C
64,"a:(A&B),a:C",-> -> a:(A&B),4.8235,C
65,"a:(A&B),a:C",-> -> a:(A&B),4.8216,C
66,"a:(A&B),a:C",-> -> a:(A&B),4.8205,C
67,"a:(A&B),a:C",-> -> a:(A&B),4.8245,C
68,"a:(A&B),a:C",-> -> a:(A&B),4.8253,C
69,"a:(A&B),a:C",-> -> a:(A&B),4.846,C
70,"a:(A&B),a:C",-> -> a:(A&B),4.851,C
71,"a:(A&B),a:C",-> -> a:(A&B),4.8241,C
72,"a:(A&B),a:C",-> -> a:(A&B),4.846,C
73,"a:(A&B),a:C",-> -> a:(A&B),4.8487,C
74,"a:(A&B),a:C",-> -> a:(A&B),4.8464,C
75,"a:(A&B),a:C",-> -> a:(A&B),4.8506,C
76,"a:(A&B),a:C",-> -> a:(A&B),4.8537,C
77,"a:(A&B),a:C",-> -> a:(A&B),4.8268,C
78,"a:(A&B),a:C",-> -> a:(A&B),4.8266,C
79,"a:(A&B),a:C",-> -> a:(A&B),4.8224,C
80,"a:(A&B),a:C",-> -> a:(A&B),4.8226,C
81,"a:(A&B),a:C",-> -> a:(A&B),4.8203,C
82,"a:(A&B),a:C",-> -> a:(A&B),4.8238,C
83,"a:(A&B),a:C",-> -> a:(A&B),4.85,C
84,"a:(A&B),a:C",-> -> a:(A&B),4.8435,C
85,"a:(A&B),a:C",-> -> a:(A&B),4.8434,C
86,"a:(A&B),a:C",-> -> a:(A&B),4.8256,C
87,"a:(A&B),a:C",-> -> a:(A&B),4.8237,C
88,"a:(A&B),a:C",-> -> a:(A&B),4.8488,C
89,"a:(A&B),a:C",-> -> a:(A&B),4.8234,C
90,"a:(A&B),a:C",-> -> a:(A&B),4.8232,C
91,"a:(A&B),a:C",-> -> a:(A&B),4.8466,C
92,"a:(A&B),a:C",-> -> a:(A&B),4.8463,C
93,"a:(A&B),a:C",-> -> a:(A&B),4.8467,C
94,"a:(A&B),a:C",-> -> a:(A&B),4.8212,C
95,"a:(A&B),a:C",-> -> a:(A&B),4.8243,C
96,"a:(A&B),a:C",-> -> a:(A&B),4.8247,C
97,"a:(A&B),a:C",-> -> a:(A&B),4.8216,C
98,"a:(A&B),a:C",-> -> a:(A&B),4.85,C
99,"a:(A&B),a:C",-> -> a:(A&B),4.849,C
100,"a:(A&B),a:C",-> -> a:(A&B),4.8474,C
101,"a:(A&B),a:C",-> -> a:(A&B),4.8231,C
102,"a:(A&B),a:C",-> -> a:(A&B),4.8471,C
103,"a:(A&B),a:C",-> -> a:(A&B),4.8459,C
104,"a:(A&B),a:C",-> -> a:(A&B),4.8227,C
105,"a:(A&B),a:C",-> -> a:(A&B),4.8194,C
106,"a:(A&B),a:C",-> -> a:(A&B),4.8232,C
107,"a:(A&B),a:C",-> -> a:(A&B),4.823,C
108,"a:(A&B),a:C",-> -> a:(A&B),4.848,C
109,"a:(A&B),a:C",-> -> a:(A&B),4.8475,C
110,"a:(A&B),a:C",-> -> a:(A&B),4.8464,C
111,"a:(A&B),a:C",-> -> a:(A&B),4.8486,C
112,"a:(A&B),a:C",-> -> a:(A&B),4.823,C
113,"a:(A&B),a:C",-> -> a:(A&B),4.8222,C
114,"a:(A&B),a:C",-> -> a:(A&B),4.8455,C
115,"a:(A&B),a:C",-> -> a:(A&B),4.848,C
116,"a:(A&B),a:C",-> -> a:(A&B),4.8238,C
117,"a:(A&B),a:C",-> -> a:(A&B),4.8496,C
118,"a:(A&B),a:C",-> -> a:(A&B),4.8279,C
119,"a:(A&B),a:C",-> -> a:(A&B),4.8436,C
120,"a:(A&B),a:C",-> -> a:(A&B),4.822,C
121,"a:(A&B),a:C",-> -> a:(A&B),4.8477,C
122,"a:(A&B),a:C",-> -> a:(A&B),4.8436,C
123,"a:(A&B),a:C",-> -> a:(A&B),4.8472,C
124,"a:(A&B),a:C",-> -> a:(A&B),4.8275,C
125,"a:(A&B),a:C",-> -> a:(A&B),4.8466,C
126,"a:(A&B),a:C",-> -> a:(A&B),4.8531,C
127,"a:(A&B),a:C",-> -> a:(A&B),4.8487,C
128,"a:(A&B),a:C",-> -> a:(A&B),4.8232,C
129,"a:(A&B),a:C",-> -> a:(A&B),4.8262,C
130,"a:(A&B),a:C",-> -> a:(A&B),4.8475,C
131,"a:(A&B),a:C",-> -> a:(A&B),4.8485,C
132,"a:(A&B),a:C",-> -> a:(A&B),4.8459,C
133,"a:(A&B),a:C",-> -> a:(A&B),4.8273,C
134,"a:(A&B),a:C",-> -> a:(A&B),4.8473,C
135,"a:(A&B),a:C",-> -> a:(A&B),4.8484,C
136,"a:(A&B),a:C",-> -> a:(A&B),4.8255,C
137,"a:(A&B),a:C",-> -> a:(A&B),4.8469,C
138,"a:(A&B),a:C",-> -> a:(A&B),4.8526,C
139,"a:(A&B),a:C",-> -> a:(A&B),4.8507,C
