Index,ABox,Run,Time,Judgement
0,a:(/Er.(/Er.A&/Er.B)&/Er.B),| -> a:(/Er.(/Er.A&/Er.B)&/Er.B) -> a:/Er.B -> a:/Er.(/Er.A&/Er.B) -> x7:(/Er.A&/Er.B) -> x7:/Er.A -> x7:/Er.B,9.235,C
1,a:(/Er.(/Er.A&/Er.B)&/Er.B),| -> a:(/Er.(/Er.A&/Er.B)&/Er.B) -> a:/Er.B -> a:/Er.(/Er.A&/Er.B) -> x15:(/Er.A&/Er.B) -> x15:/Er.A -> x15:/Er.B,9.5457,C
2,a:(/Er.(/Er.A&/Er.B)&/Er.B),| -> a:(/Er.(/Er.A&/Er.B)&/Er.B) -> a:/Er.(/Er.A&/Er.B) -> x14:(/Er.A&/Er.B) -> x14:/Er.A -> x14:/Er.B -> a:/Er.B,9.5491,C
3,a:(/Er.(/Er.A&/Er.B)&/Er.B),| -> a:(/Er.(/Er.A&/Er.B)&/Er.B) -> a:/Er.(/Er.A&/Er.B) -> x8:(/Er.A&/Er.B) -> x8:/Er.B -> x8:/Er.A -> a:/Er.B,9.3841,C
4,a:(/Er.(/Er.A&/Er.B)&/Er.B),| -> a:(/Er.(/Er.A&/Er.B)&/Er.B) -> a:/Er.(/Er.A&/Er.B) -> x11:(/Er.A&/Er.B) -> x11:/Er.A -> x11:/Er.B -> a:/Er.B,9.5453,C
5,a:(/Er.(/Er.A&/Er.B)&/Er.B),| -> a:(/Er.(/Er.A&/Er.B)&/Er.B) -> a:/Er.(/Er.A&/Er.B) -> a:/Er.B -> x11:(/Er.A&/Er.B) -> x11:/Er.B -> x11:/Er.A,9.3914,C
6,a:(/Er.(/Er.A&/Er.B)&/Er.B),| -> a:(/Er.(/Er.A&/Er.B)&/Er.B) -> a:/Er.(/Er.A&/Er.B) -> x14:(/Er.A&/Er.B) -> x14:/Er.A -> x14:/Er.B -> a:/Er.B,9.3902,C
7,a:(/Er.(/Er.A&/Er.B)&/Er.B),| -> a:(/Er.(/Er.A&/Er.B)&/Er.B) -> a:/Er.B -> a:/Er.(/Er.A&/Er.B) -> x5:(/Er.A&/Er.B) -> x5:/Er.B -> x5:/Er.A,9.7055,C
8,a:(/Er.(/Er.A&/Er.B)&/Er.B),| -> a:(/Er.(/Er.A&/Er.B)&/Er.B) -> a:/Er.B -> a:/Er.(/Er.A&/Er.B) -> x8:(/Er.A&/Er.B) -> x8:/Er.B -> x8:/Er.A,9.2372,C
9,a:(/Er.(/Er.A&/Er.B)&/Er.B),| -> a:(/Er.(/Er.A&/Er.B)&/Er.B) -> a:/Er.(/Er.A&/Er.B) -> x9:(/Er.A&/Er.B) -> x9:/Er.B -> a:/Er.B -> x9:/Er.A,9.55,C
10,a:(/Er.(/Er.A&/Er.B)&/Er.B),| -> a:(/Er.(/Er.A&/Er.B)&/Er.B) -> a:/Er.B -> a:/Er.(/Er.A&/Er.B) -> x11:(/Er.A&/Er.B) -> x11:/Er.A -> x11:/Er.B,9.3938,C
11,a:(/Er.(/Er.A&/Er.B)&/Er.B),| -> a:(/Er.(/Er.A&/Er.B)&/Er.B) -> a:/Er.(/Er.A&/Er.B) -> x11:(/Er.A&/Er.B) -> x11:/Er.B -> a:/Er.B -> x11:/Er.A,9.386,C
12,a:(/Er.(/Er.A&/Er.B)&/Er.B),| -> a:(/Er.(/Er.A&/Er.B)&/Er.B) -> a:/Er.B -> a:/Er.(/Er.A&/Er.B) -> x1:(/Er.A&/Er.B) -> x1:/Er.B -> x1:/Er.A,9.55,C
