Index,ABox,Run,Time,Judgement
0,"a:A, a:-A",|,0.8535,I
1,"a:A, a:-A",|,0.8553,I
2,"a:A, a:-A",|,0.8549,I
3,"a:A, a:-A",|,0.8544,I
4,"a:A, a:-A",|,0.854,I
5,"a:A, a:-A",|,0.8541,I
6,"a:A, a:-A",|,0.8529,I
7,"a:A, a:-A",|,0.854,I
8,"a:A, a:-A",|,0.8545,I
9,"a:A, a:-A",|,0.8547,I
10,"a:A, a:-A",|,0.8552,I
11,"a:A, a:-A",|,0.8537,I
12,"a:A, a:-A",|,0.8554,I
13,"a:A, a:-A",|,0.8537,I
14,"a:A, a:-A",|,0.8534,I
15,"a:A, a:-A",|,0.8556,I
16,"a:A, a:-A",|,0.8533,I
17,"a:A, a:-A",|,0.8528,I
18,"a:A, a:-A",|,0.8533,I
19,"a:A, a:-A",|,0.8546,I
20,"a:A, a:-A",|,0.853,I
21,"a:A, a:-A",|,0.8532,I
22,"a:A, a:-A",|,0.8521,I
23,"a:A, a:-A",|,0.8528,I
24,"a:A, a:-A",|,0.8558,I
25,"a:A, a:-A",|,0.854,I
26,"a:A, a:-A",|,0.8545,I
27,"a:A, a:-A",|,0.8523,I
28,"a:A, a:-A",|,0.8527,I
29,"a:A, a:-A",|,0.853,I
30,"a:A, a:-A",|,0.8535,I
31,"a:A, a:-A",|,0.8549,I
32,"a:A, a:-A",|,0.8541,I
33,"a:A, a:-A",|,0.8519,I
34,"a:A, a:-A",|,0.8549,I
35,"a:A, a:-A",|,0.8545,I
36,"a:A, a:-A",|,0.8538,I
37,"a:A, a:-A",|,0.8528,I
38,"a:A, a:-A",|,0.854,I
39,"a:A, a:-A",|,0.8522,I
40,"a:A, a:-A",|,0.8522,I
41,"a:A, a:-A",|,0.854,I
42,"a:A, a:-A",|,0.8527,I
43,"a:A, a:-A",|,0.8534,I
44,"a:A, a:-A",|,0.8514,I
45,"a:A, a:-A",|,0.8528,I
46,"a:A, a:-A",|,0.8546,I
47,"a:A, a:-A",|,0.8526,I
48,"a:A, a:-A",|,0.8548,I
49,"a:A, a:-A",|,0.8534,I
50,"a:A, a:-A",|,0.8523,I
51,"a:A, a:-A",|,0.8547,I
52,"a:A, a:-A",|,0.8516,I
53,"a:A, a:-A",|,0.8548,I
54,"a:A, a:-A",|,0.8512,I
55,"a:A, a:-A",|,0.8539,I
56,"a:A, a:-A",|,0.8522,I
57,"a:A, a:-A",|,0.8545,I
58,"a:A, a:-A",|,0.8514,I
59,"a:A, a:-A",|,0.8527,I
60,"a:A, a:-A",|,0.8536,I
61,"a:A, a:-A",|,0.8545,I
62,"a:A, a:-A",|,0.8538,I
63,"a:A, a:-A",|,0.8526,I
64,"a:A, a:-A",|,0.854,I
65,"a:A, a:-A",|,0.8533,I
66,"a:A, a:-A",|,0.8526,I
67,"a:A, a:-A",|,0.8528,I
