Index,ABox,Run,Time,Judgement
0,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.B -> a:/Er.A -> a:/Ar.-A,7.2256,I
1,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Er.B -> a:/Ar.-A,6.3537,I
2,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.B -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A,8.0216,I
3,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.B -> a:/Er.A -> a:/Ar.-A,7.2246,I
4,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.B -> a:/Er.A -> a:/Ar.-A,6.8667,I
5,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Er.B -> a:/Ar.-A,6.5109,I
6,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.B -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A,8.0203,I
7,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.B -> a:/Er.A -> a:/Ar.-A,7.2194,I
8,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Er.B -> a:/Ar.-A,6.5102,I
9,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.B -> a:/Er.A -> a:/Ar.-A,7.2211,I
10,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.B -> a:/Er.A -> a:/Ar.-A,7.2263,I
11,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Er.B -> a:/Ar.-A,6.5119,I
12,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Er.B -> a:/Ar.-A,6.5115,I
13,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A -> a:/Er.B,4.9829,I
14,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.B -> a:/Er.A -> a:/Ar.-A,6.8666,I
15,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.B -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A,8.1722,I
16,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.B -> a:/Er.A -> a:/Ar.-A,7.0693,I
17,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.B -> a:/Er.A -> a:/Ar.-A,7.0655,I
18,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Er.B -> a:/Ar.-A,6.3531,I
19,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Er.B -> a:/Ar.-A,6.5129,I
20,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A -> a:/Er.B,4.9857,I
21,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A -> a:/Er.B,4.9874,I
22,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.B -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A,8.0218,I
23,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Er.B -> a:/Ar.-A,6.3522,I
24,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A -> a:/Er.B,4.9816,I
25,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.B -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A,8.0178,I
26,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Er.B -> a:/Ar.-A,6.512,I
27,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.B -> a:/Er.A -> a:/Ar.-A,6.8688,I
28,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A -> a:/Er.B,4.988,I
29,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A -> a:/Er.B,4.9821,I
30,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.B -> a:/Er.A -> a:/Ar.-A,6.7152,I
31,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A -> a:/Er.B,4.9828,I
32,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A -> a:/Er.B,4.9864,I
33,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A -> a:/Er.B,4.982,I
34,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.B -> a:/Er.A -> a:/Ar.-A,7.0686,I
35,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A -> a:/Er.B,4.9793,I
36,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.B -> a:/Er.A -> a:/Ar.-A,7.0656,I
37,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A -> a:/Er.B,4.9857,I
38,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.B -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A,8.0202,I
39,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Er.B -> a:/Ar.-A,6.5167,I
40,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.B -> a:/Er.A -> a:/Ar.-A,7.227,I
41,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A -> a:/Er.B,4.9852,I
42,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A -> a:/Er.B,4.9838,I
43,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.B -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A,8.1803,I
44,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.B -> a:/Er.A -> a:/Ar.-A,6.8726,I
45,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.B -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A,8.0143,I
46,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.B -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A,8.1782,I
47,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.B -> a:/Er.A -> a:/Ar.-A,6.8649,I
48,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.B -> a:/Er.A -> a:/Ar.-A,6.8697,I
49,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.B -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A,8.1809,I
50,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A -> a:/Er.B,4.9828,I
51,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.B -> a:/Er.A -> a:/Ar.-A,6.7085,I
52,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A -> a:/Er.B,4.9846,I
53,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.B -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A,8.1808,I
54,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.B -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A,8.0195,I
55,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A -> a:/Er.B,4.9858,I
56,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Er.B -> a:/Ar.-A,6.3614,I
57,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.B -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A,8.1811,I
58,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.B -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A,8.1792,I
59,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.B -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A,8.6902,C
60,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A -> a:/Er.B,4.989,I
61,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A -> a:/Er.B,4.9866,I
62,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A -> a:/Er.B,4.9899,I
63,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.B -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A,8.0225,I
64,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.B -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A,8.1736,I
65,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A -> a:/Er.B,4.9825,I
66,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.B -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A,8.169,I
67,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Er.B -> a:/Ar.-A,6.5173,I
68,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A -> a:/Er.B,4.9874,I
69,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.B -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A,8.0234,I
70,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Er.B -> a:/Ar.-A,6.5108,I
71,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Er.B -> a:/Ar.-A,6.3583,I
72,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A -> a:/Er.B,4.9899,I
73,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A -> a:/Er.B,4.9843,I
74,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Er.B -> a:/Ar.-A,6.3622,I
75,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Er.B -> a:/Ar.-A,6.3547,I
76,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Er.B -> a:/Ar.-A,6.5099,I
77,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A -> a:/Er.B,4.9827,I
78,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.B -> a:/Er.A -> a:/Ar.-A,7.016,C
79,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A -> a:/Er.B,4.9863,I
80,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Er.B -> a:/Ar.-A,6.3548,I
81,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.B -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A,8.0289,I
82,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A -> a:/Er.B,4.9858,I
83,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A -> a:/Er.B,4.9845,I
84,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Er.B -> a:/Ar.-A,6.5049,I
85,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.B -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A,8.1778,I
86,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Er.B -> a:/Ar.-A,6.5162,I
87,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A -> a:/Er.B,4.9808,I
88,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.B -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A,8.0193,I
89,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A -> a:/Er.B,4.9846,I
90,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Er.B -> a:/Ar.-A,6.3608,I
91,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.B -> a:/Ar.-A -> a:/Er.A -> a:/Ar.-A,8.0189,I
92,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.A -> a:/Er.B -> a:/Ar.-A,6.3556,I
93,"a:/Er.A,a:/Ar.-A,a:/Er.B",| -> a:/Ar.-A -> a:/Er.B -> a:/Er.A -> a:/Ar.-A,6.866,I
