,ABox,Run,Time,Judgement
0,a:(A&(B&(C&(D&-A)))),| -> a:(A&(B&(C&(D&-A)))) -> a:(B&(C&(D&-A))) -> a:(C&(D&-A)) -> a:(D&-A),7.3477,I
1,a:(A&(B&(C&(D&-A)))),| -> a:(A&(B&(C&(D&-A)))) -> a:(B&(C&(D&-A))) -> a:(C&(D&-A)) -> a:(D&-A),6.5166,I
2,a:(A&(B&(C&(D&-A)))),| -> a:(A&(B&(C&(D&-A)))) -> a:(B&(C&(D&-A))) -> a:(C&(D&-A)) -> a:(D&-A),6.6328,I
3,a:(A&(B&(C&(D&-A)))),| -> a:(A&(B&(C&(D&-A)))) -> a:(B&(C&(D&-A))) -> a:(C&(D&-A)) -> a:(D&-A),6.8281,I
4,a:(A&(B&(C&(D&-A)))),| -> a:(A&(B&(C&(D&-A)))) -> a:(B&(C&(D&-A))) -> a:(C&(D&-A)) -> a:(D&-A),6.4536,I
5,a:(A&(B&(C&(D&-A)))),| -> a:(A&(B&(C&(D&-A)))) -> a:(B&(C&(D&-A))) -> a:(C&(D&-A)) -> a:(D&-A),6.5851,I
6,a:(A&(B&(C&(D&-A)))),| -> a:(A&(B&(C&(D&-A)))) -> a:(B&(C&(D&-A))) -> a:(C&(D&-A)) -> a:(D&-A),6.7368,I
7,a:(A&(B&(C&(D&-A)))),| -> a:(A&(B&(C&(D&-A)))) -> a:(B&(C&(D&-A))) -> a:(C&(D&-A)) -> a:(D&-A),6.8936,I
8,a:(A&(B&(C&(D&-A)))),| -> a:(A&(B&(C&(D&-A)))) -> a:(B&(C&(D&-A))) -> a:(C&(D&-A)) -> a:(D&-A),6.6708,I
9,a:(A&(B&(C&(D&-A)))),| -> a:(A&(B&(C&(D&-A)))) -> a:(B&(C&(D&-A))) -> a:(C&(D&-A)) -> a:(D&-A),6.9325,I
10,a:(A&(B&(C&(D&-A)))),| -> a:(A&(B&(C&(D&-A)))) -> a:(B&(C&(D&-A))) -> a:(C&(D&-A)) -> a:(D&-A),6.9954,I
11,a:(A&(B&(C&(D&-A)))),| -> a:(A&(B&(C&(D&-A)))) -> a:(B&(C&(D&-A))) -> a:(C&(D&-A)) -> a:(D&-A),7.1503,I
12,a:(A&(B&(C&(D&-A)))),| -> a:(A&(B&(C&(D&-A)))) -> a:(B&(C&(D&-A))) -> a:(C&(D&-A)) -> a:(D&-A),6.5207,I
13,a:(A&(B&(C&(D&-A)))),| -> a:(A&(B&(C&(D&-A)))) -> a:(B&(C&(D&-A))) -> a:(C&(D&-A)) -> a:(D&-A),6.2017,I
14,a:(A&(B&(C&(D&-A)))),| -> a:(A&(B&(C&(D&-A)))) -> a:(B&(C&(D&-A))) -> a:(C&(D&-A)) -> a:(D&-A),6.3837,I
15,a:(A&(B&(C&(D&-A)))),| -> a:(A&(B&(C&(D&-A)))) -> a:(B&(C&(D&-A))) -> a:(C&(D&-A)) -> a:(D&-A),6.5789,I
16,a:(A&(B&(C&(D&-A)))),| -> a:(A&(B&(C&(D&-A)))) -> a:(B&(C&(D&-A))) -> a:(C&(D&-A)) -> a:(D&-A),6.6749,I
17,a:(A&(B&(C&(D&-A)))),| -> a:(A&(B&(C&(D&-A)))) -> a:(B&(C&(D&-A))) -> a:(C&(D&-A)) -> a:(D&-A),6.5481,I
18,a:(A&(B&(C&(D&-A)))),| -> a:(A&(B&(C&(D&-A)))) -> a:(B&(C&(D&-A))) -> a:(C&(D&-A)) -> a:(D&-A),6.6724,I
19,a:(A&(B&(C&(D&-A)))),| -> a:(A&(B&(C&(D&-A)))) -> a:(B&(C&(D&-A))) -> a:(C&(D&-A)) -> a:(D&-A),7.082,I
20,a:(A&(B&(C&(D&-A)))),| -> a:(A&(B&(C&(D&-A)))) -> a:(B&(C&(D&-A))) -> a:(C&(D&-A)) -> a:(D&-A),6.7436,I
21,a:(A&(B&(C&(D&-A)))),| -> a:(A&(B&(C&(D&-A)))) -> a:(B&(C&(D&-A))) -> a:(C&(D&-A)) -> a:(D&-A),6.2747,I
22,a:(A&(B&(C&(D&-A)))),| -> a:(A&(B&(C&(D&-A)))) -> a:(B&(C&(D&-A))) -> a:(C&(D&-A)) -> a:(D&-A),7.226,I
