,ABox,Run,Time,Judgement
0,"a:A,b:-A,a:B",|,3.5646,C
1,"a:A,b:-A,a:B",|,3.5636,C
2,"a:A,b:-A,a:B",|,3.5602,C
3,"a:A,b:-A,a:B",|,3.5618,C
4,"a:A,b:-A,a:B",|,3.5638,C
5,"a:A,b:-A,a:B",|,3.5658,C
6,"a:A,b:-A,a:B",|,3.5659,C
7,"a:A,b:-A,a:B",|,3.5644,C
8,"a:A,b:-A,a:B",|,3.5635,C
9,"a:A,b:-A,a:B",|,3.5662,C
10,"a:A,b:-A,a:B",|,3.5644,C
11,"a:A,b:-A,a:B",|,3.5647,C
12,"a:A,b:-A,a:B",|,3.5638,C
13,"a:A,b:-A,a:B",|,3.5664,C
14,"a:A,b:-A,a:B",|,3.5649,C
15,"a:A,b:-A,a:B",|,3.5659,C
16,"a:A,b:-A,a:B",|,3.5635,C
17,"a:A,b:-A,a:B",|,3.5651,C
18,"a:A,b:-A,a:B",|,3.5657,C
19,"a:A,b:-A,a:B",|,3.5639,C
20,"a:A,b:-A,a:B",|,3.5663,C
21,"a:A,b:-A,a:B",|,3.5651,C
22,"a:A,b:-A,a:B",|,3.5631,C
23,"a:A,b:-A,a:B",|,3.5615,C
24,"a:A,b:-A,a:B",|,3.5663,C
25,"a:A,b:-A,a:B",|,3.5636,C
26,"a:A,b:-A,a:B",|,3.5626,C
27,"a:A,b:-A,a:B",|,3.5632,C
28,"a:A,b:-A,a:B",|,3.565,C
29,"a:A,b:-A,a:B",|,3.5639,C
30,"a:A,b:-A,a:B",|,3.5659,C
31,"a:A,b:-A,a:B",|,3.5647,C
32,"a:A,b:-A,a:B",|,3.5652,C
33,"a:A,b:-A,a:B",|,3.564,C
34,"a:A,b:-A,a:B",|,3.5622,C
35,"a:A,b:-A,a:B",|,3.5636,C
36,"a:A,b:-A,a:B",|,3.56,C
37,"a:A,b:-A,a:B",|,3.5649,C
38,"a:A,b:-A,a:B",|,3.5628,C
