,ABox,Run,Time,Judgement
49,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6882,I
50,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.7584,I
51,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.7561,I
52,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.5377,I
53,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.5363,I
54,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.5357,I
55,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6942,I
56,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.3439,I
57,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.5996,I
58,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.0368,I
59,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.7561,I
60,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.26,I
61,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6933,I
62,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.7564,I
63,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.3227,I
64,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6043,I
65,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.4145,I
66,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6871,I
67,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.1879,I
68,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.1026,I
69,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.5338,I
70,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.3244,I
71,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.1016,I
72,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6899,I
73,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6889,I
74,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.1016,I
75,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6935,I
76,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.7575,I
77,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.2584,I
78,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.1959,I
79,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.0978,I
80,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.1038,I
81,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.7498,I
82,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6024,I
83,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6007,I
84,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.3238,I
85,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.1935,I
86,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.3465,I
87,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.756,I
88,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.7567,I
89,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.2611,I
90,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.2617,I
91,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6941,I
92,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.3212,I
93,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.2556,I
94,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.2572,I
95,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.5359,I
96,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.5385,I
97,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.2573,I
98,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.1912,I
99,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.2556,I
100,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.7568,I
