Index,ABox,Run,Time,Judgement
0,"a:A,b:A,a:-A",|,0.8518,I
1,"a:A,b:A,a:-A",|,0.852,I
2,"a:A,b:A,a:-A",|,1.2074,I
3,"a:A,b:A,a:-A",|,0.8494,I
4,"a:A,b:A,a:-A",|,0.8509,I
5,"a:A,b:A,a:-A",|,0.8525,I
6,"a:A,b:A,a:-A",|,1.2091,I
7,"a:A,b:A,a:-A",|,0.8512,I
8,"a:A,b:A,a:-A",|,0.852,I
9,"a:A,b:A,a:-A",|,0.8531,I
10,"a:A,b:A,a:-A",|,1.208,I
11,"a:A,b:A,a:-A",|,1.2089,I
12,"a:A,b:A,a:-A",|,0.8561,I
13,"a:A,b:A,a:-A",|,1.2084,I
14,"a:A,b:A,a:-A",|,0.8536,I
15,"a:A,b:A,a:-A",|,0.8524,I
16,"a:A,b:A,a:-A",|,1.2088,I
17,"a:A,b:A,a:-A",|,0.8523,I
18,"a:A,b:A,a:-A",|,0.8509,I
19,"a:A,b:A,a:-A",|,0.854,I
20,"a:A,b:A,a:-A",|,1.2089,I
21,"a:A,b:A,a:-A",|,0.8534,I
22,"a:A,b:A,a:-A",|,0.8522,I
23,"a:A,b:A,a:-A",|,1.2085,I
24,"a:A,b:A,a:-A",|,0.8534,I
25,"a:A,b:A,a:-A",|,1.207,I
26,"a:A,b:A,a:-A",|,1.2077,I
27,"a:A,b:A,a:-A",|,1.2039,I
28,"a:A,b:A,a:-A",|,0.8538,I
29,"a:A,b:A,a:-A",|,0.854,I
30,"a:A,b:A,a:-A",|,0.8533,I
31,"a:A,b:A,a:-A",|,1.2076,I
32,"a:A,b:A,a:-A",|,1.2081,I
33,"a:A,b:A,a:-A",|,0.8529,I
34,"a:A,b:A,a:-A",|,1.2067,I
35,"a:A,b:A,a:-A",|,1.2059,I
36,"a:A,b:A,a:-A",|,1.207,I
37,"a:A,b:A,a:-A",|,1.2056,I
38,"a:A,b:A,a:-A",|,1.208,I
39,"a:A,b:A,a:-A",|,0.8537,I
40,"a:A,b:A,a:-A",|,0.8523,I
41,"a:A,b:A,a:-A",|,1.2081,I
42,"a:A,b:A,a:-A",|,0.8525,I
43,"a:A,b:A,a:-A",|,0.8504,I
44,"a:A,b:A,a:-A",|,0.854,I
45,"a:A,b:A,a:-A",|,0.8525,I
46,"a:A,b:A,a:-A",|,0.8536,I
47,"a:A,b:A,a:-A",|,0.854,I
48,"a:A,b:A,a:-A",|,1.2067,I
49,"a:A,b:A,a:-A",|,1.2072,I
50,"a:A,b:A,a:-A",|,1.2095,I
51,"a:A,b:A,a:-A",|,0.8539,I
52,"a:A,b:A,a:-A",|,1.2089,I
53,"a:A,b:A,a:-A",|,0.8533,I
54,"a:A,b:A,a:-A",|,0.8535,I
55,"a:A,b:A,a:-A",|,0.8523,I
56,"a:A,b:A,a:-A",|,1.2061,I
57,"a:A,b:A,a:-A",|,0.851,I
58,"a:A,b:A,a:-A",|,1.2062,I
59,"a:A,b:A,a:-A",|,0.852,I
60,"a:A,b:A,a:-A",|,0.8548,I
61,"a:A,b:A,a:-A",|,0.8536,I
62,"a:A,b:A,a:-A",|,0.855,I
63,"a:A,b:A,a:-A",|,1.2089,I
64,"a:A,b:A,a:-A",|,0.8537,I
65,"a:A,b:A,a:-A",|,0.8536,I
66,"a:A,b:A,a:-A",|,0.8529,I
67,"a:A,b:A,a:-A",|,0.8534,I
68,"a:A,b:A,a:-A",|,0.8523,I
69,"a:A,b:A,a:-A",|,0.854,I
70,"a:A,b:A,a:-A",|,1.2096,I
71,"a:A,b:A,a:-A",|,0.8534,I
72,"a:A,b:A,a:-A",|,0.8525,I
73,"a:A,b:A,a:-A",|,0.8521,I
74,"a:A,b:A,a:-A",|,1.2073,I
75,"a:A,b:A,a:-A",|,0.8539,I
76,"a:A,b:A,a:-A",|,1.2062,I
77,"a:A,b:A,a:-A",|,0.851,I
78,"a:A,b:A,a:-A",|,0.8539,I
79,"a:A,b:A,a:-A",|,1.2099,I
80,"a:A,b:A,a:-A",|,0.8523,I
81,"a:A,b:A,a:-A",|,1.2086,I
82,"a:A,b:A,a:-A",|,1.2071,I
83,"a:A,b:A,a:-A",|,1.2067,I
84,"a:A,b:A,a:-A",|,1.2056,I
85,"a:A,b:A,a:-A",|,0.853,I
86,"a:A,b:A,a:-A",|,0.8535,I
87,"a:A,b:A,a:-A",|,1.2048,I
88,"a:A,b:A,a:-A",|,0.8538,I
89,"a:A,b:A,a:-A",|,0.8546,I
90,"a:A,b:A,a:-A",|,0.8546,I
91,"a:A,b:A,a:-A",|,1.2063,I
92,"a:A,b:A,a:-A",|,0.8532,I
93,"a:A,b:A,a:-A",|,0.852,I
94,"a:A,b:A,a:-A",|,1.2082,I
95,"a:A,b:A,a:-A",|,0.8555,I
96,"a:A,b:A,a:-A",|,0.8528,I
97,"a:A,b:A,a:-A",|,1.2055,I
98,"a:A,b:A,a:-A",|,1.2069,I
