,ABox,Run,Time,Judgement
0,a:(/Er.A&/Er.B),| -> a:(/Er.A&/Er.B) -> a:/Er.B -> a:/Er.A,5.8263,C
1,a:(/Er.A&/Er.B),| -> a:(/Er.A&/Er.B) -> a:/Er.A -> a:/Er.B,5.9805,C
2,a:(/Er.A&/Er.B),| -> a:(/Er.A&/Er.B) -> a:/Er.A -> a:/Er.B,5.985,C
3,a:(/Er.A&/Er.B),| -> a:(/Er.A&/Er.B) -> a:/Er.A -> a:/Er.B,5.9855,C
4,a:(/Er.A&/Er.B),| -> a:(/Er.A&/Er.B) -> a:/Er.B -> a:/Er.A,5.9786,C
5,a:(/Er.A&/Er.B),| -> a:(/Er.A&/Er.B) -> a:/Er.A -> a:/Er.B,5.9752,C
6,a:(/Er.A&/Er.B),| -> a:(/Er.A&/Er.B) -> a:/Er.A -> a:/Er.B,5.9819,C
7,a:(/Er.A&/Er.B),| -> a:(/Er.A&/Er.B) -> a:/Er.B -> a:/Er.A,5.8247,C
8,a:(/Er.A&/Er.B),| -> a:(/Er.A&/Er.B) -> a:/Er.A -> a:/Er.B,6.1405,C
9,a:(/Er.A&/Er.B),| -> a:(/Er.A&/Er.B) -> a:/Er.A -> a:/Er.B,5.8237,C
10,a:(/Er.A&/Er.B),| -> a:(/Er.A&/Er.B) -> a:/Er.A -> a:/Er.B,6.138,C
11,a:(/Er.A&/Er.B),| -> a:(/Er.A&/Er.B) -> a:/Er.A -> a:/Er.B,5.9782,C
12,a:(/Er.A&/Er.B),| -> a:(/Er.A&/Er.B) -> a:/Er.B -> a:/Er.A,6.1427,C
13,a:(/Er.A&/Er.B),| -> a:(/Er.A&/Er.B) -> a:/Er.A -> a:/Er.B,5.9839,C
14,a:(/Er.A&/Er.B),| -> a:(/Er.A&/Er.B) -> a:/Er.B -> a:/Er.A,6.1387,C
15,a:(/Er.A&/Er.B),| -> a:(/Er.A&/Er.B) -> a:/Er.A -> a:/Er.B,5.9768,C
16,a:(/Er.A&/Er.B),| -> a:(/Er.A&/Er.B) -> a:/Er.A -> a:/Er.B,5.9803,C
17,a:(/Er.A&/Er.B),| -> a:(/Er.A&/Er.B) -> a:/Er.A -> a:/Er.B,5.984,C
18,a:(/Er.A&/Er.B),| -> a:(/Er.A&/Er.B) -> a:/Er.A -> a:/Er.B,5.8253,C
19,a:(/Er.A&/Er.B),| -> a:(/Er.A&/Er.B) -> a:/Er.B -> a:/Er.A,5.8267,C
20,a:((/Er.A&/Er.B)&/Ar.(/Er.A&/Er.B)),| -> a:((/Er.A&/Er.B)&/Ar.(/Er.A&/Er.B)) -> a:(/Er.A&/Er.B) -> a:/Er.B -> a:/Er.A -> a:/Ar.(/Er.A&/Er.B) -> x7:(/Er.A&/Er.B) -> x7:/Er.A -> x4:(/Er.A&/Er.B) -> a:/Ar.(/Er.A&/Er.B) -> x4:/Er.A -> a:/Ar.(/Er.A&/Er.B) -> x4:/Er.B -> x7:/Er.B -> a:/Ar.(/Er.A&/Er.B),20.8203,C
21,a:((/Er.A&/Er.B)&/Ar.(/Er.A&/Er.B)),| -> a:((/Er.A&/Er.B)&/Ar.(/Er.A&/Er.B)) -> a:(/Er.A&/Er.B) -> a:/Er.A -> a:/Ar.(/Er.A&/Er.B) -> a:/Er.B -> x4:(/Er.A&/Er.B) -> a:/Ar.(/Er.A&/Er.B) -> x4:/Er.B -> a:/Ar.(/Er.A&/Er.B) -> x3:(/Er.A&/Er.B) -> x3:/Er.A -> a:/Ar.(/Er.A&/Er.B) -> x4:/Er.A -> x3:/Er.B -> a:/Ar.(/Er.A&/Er.B),21.7427,C
22,a:((/Er.A&/Er.B)&/Ar.(/Er.A&/Er.B)),| -> a:((/Er.A&/Er.B)&/Ar.(/Er.A&/Er.B)) -> a:/Ar.(/Er.A&/Er.B) -> a:(/Er.A&/Er.B) -> a:/Ar.(/Er.A&/Er.B) -> a:/Er.B -> a:/Ar.(/Er.A&/Er.B) -> x2:(/Er.A&/Er.B) -> a:/Ar.(/Er.A&/Er.B) -> x2:/Er.B -> x2:/Er.A -> a:/Er.A -> a:/Ar.(/Er.A&/Er.B) -> x3:(/Er.A&/Er.B) -> x3:/Er.B -> a:/Ar.(/Er.A&/Er.B) -> x3:/Er.A -> a:/Ar.(/Er.A&/Er.B),23.0225,C
